Date,Initials,Clinic,User,Reason,Note,Resolution,Ticket,Escalated,Technician,0-3,4-10,11-20,21-30,31+,Remote session,3+ topics,BP Reinstall,JIRA
2/24,AS,MA_hyw,Annette,Managed Care,Somehow managed to change the price on managed care devices??  Was adamant that nobody had removed the managed care label from truhearing,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,TX_aahach,Madeline,Electronic claim submission,Error when trying to submit claims. Verifying SFTP credentials failed. Encouraged her to double check the username/password and if that failed reach out to ClaimMD.,Contacting 3rd Party,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,AS,FL_par,Lynette,Database backup,Calling for Chris,Transferred,267139,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,AS,Unknown,Laura,Integrated payment processing,"Payarc terminal was saying it wasn't connected to the internet.  Blueprint was prompting for the terminal as expected, but was timing out. Gave them ken and kai's contact",Contacting 3rd Party,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,AB_ety,Cheryl,Patient/private billing,"Was trying to adjust allocation between 3pp but couldnt not due to ""automatically allocate"" box being checked",,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,LR,FL_nca,Parker,Automated marketing,Returning Logan's call from earlier that he missed - just a go-live check in. Logan's in a meeting so I took the call. Asked about MA & the Google review campaign. Gave him an overview of what that setup looks like and where to find the enable button in setup. Sending a ticket with resources. Advised if he'd like a 1:1 or Q&A to let us know and Logan can get that scheduled.,Resolved,267448,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,AS,SC_str,Thomas,General help,"Wondering about changing default warranties, also had a carecredit issue and needed a reminder about the payment workaround",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,JI,BC_ech,Laura,Return/exchange help,Just wanted a walk through of the return process and how to charge a return fee,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JP,KY_lfe,Abigail,Schedule questions/issues,help setting patient info display for arrival notifications,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,UT_dsa,Heather,Managed Care,"Wanted help adding a new 3rd party payer in setup and for a patient. Also showed her how to allocate to the costs to that payer during order creation. The payer needed to be managed care, so helped her make that change as well and then recreate the order.",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JP,ME_adf,Ted,Return/exchange help,had created a return but not credited the 3p. deleted and recreated,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,AS,MN_ahm,Roxi,General help,Wondering what their options are to clean up unapplied credits,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,IL_nsa,Dee,General help,Was wondering how long it takes for check in notifications to arrive. Shes said occasionally it takes 4-5 min.  Will investigate network speeds. ,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,JP,BC_adv,Lianne,Update users,Help setting up new users,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,ON_dee,Amy,3rd party billing,Wanted help adjusting an invoice to be paid by a 3rd party and issuing a refund to the patient.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,NV_aai,Alex,System error message,error when launching bp.  Re installing,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
2/24,AS,NJ_msu,Faith,Reports,Looking for a report that shows total profit,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,MN_ihbc,Mindy,Installation assistance,"Installing on a Mac. Gods....be with me....

We made it. It was touch and go there...but we made it through...",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,GA_mhs,Sean,Cloud Noah issue,Upgraded noah client and not cannt connect to server on one computer.  Upgraded to wrong version.  Will remove and reinstall with correct version.,Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,AS,Unknown,Claire,Installation assistance,"Wants BP installed, first requested to be sent launch link, then asked if we can connect to do it, then said she wasn't at the computer and will call back later and hung up",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,JI,NV_aai,Alex,Installation assistance,Needed help installing bp on one other machine,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
